Block ID,Type,Code,Name,Catalog Year
RA000070,MAJOR,316A,Major in Economics,2009 - 2013
RA000071,MAJOR,326A,Major in Finance & Banking,2009 - 2012
RA000072,MAJOR,328A,Major in Health Care Management,2009 - 2010
RA000073,MAJOR,371A,Major in Hospitality & Tourism Management,2009 - 2010
RA000074,MAJOR,337A,Major in International Business,2009 - 2013
RA000075,MAJOR,355*,Major in Management,2009 - 2013
RA000076,CONC,355B,Conc in Entrepreneurship,2009 - 2010
RA000077,CONC,355C,Conc in General Management,2009 - 2010
RA000078,CONC,355D,Conc in Human Resource Management,2009 - 2010
RA000079,MAJOR,352A,Major in Marketing,2009 - 2014
RA000080,MAJOR,380A,Major in Risk Management & Insurance,2009 - 2013
RA000081,MINOR,504,Minor in Art,2009 - 2011
RA000082,MINOR,505,Minor in Art History,2009 - 2011
RA000083,MINOR,532,Minor in Communication,2009 - 2010
RA000084,MINOR,500,Minor in Apparel & Textiles,2009 - 2011
RA000085,MINOR,510,Minor in Child Development,2009 - 2011
RA000087,MINOR,519,Minor in Exercise Science,2009 - 2013
RA000088,MINOR,509,Minor in Health Promotion,2009 - 2015
RA000089,MINOR,575,Minor in Recreation Management,2009 - 2015
RA000090,MINOR,555,Minor in Military Science,2009 - 2015
RA000091,MINOR,544,Minor in Appropriate Technology,2009 - 2011
RA000092,MINOR,542,Minor in Construction Technology,2009 - 2009
RA000093,MINOR,579,Minor in Digital Photography,2009 - 2009
RA000094,MINOR,572,Minor in Graphic Arts & Imaging,2009 - 2012
RA000095,MINOR,526,Minor in Family & Consumer Science (Gen),2009 - 2011
RA000096,MINOR,521,Minor in Foods & Nutrition,2009 - 2010
RA000097,MINOR,515,Minor in Dance,2009 - 2009
RA000098,MINOR,586,Minor in Theatre Arts,2009 - 2013
RA000099,MAJOR,578A,Major in Appropriate Technology,2009 - 2009
RA000100,MAJOR,502A,Major in Art Education (K-12),2009 - 2009
RA000101,MAJOR,504*,Major in Art,2009 - 2011
RA000102,CONC,504B,Conc in Art History,2009 - 2010
RA000103,CONC,504C,Conc in Studio Art,2009 - 2010
RA000104,CONC,504D,Conc in Interdisciplinary Art,2009 - 2010
RA000105,MAJOR,507A,Major in Communication (Advertising),2009 - 2010
RA000106,MAJOR,511A,Major in Graphic Design,2009 - 2009
RA000107,MAJOR,513A,Major in Studio Art,2009 - 2009
RA000108,MAJOR,576*,Major in Industrial Design,2009 - 2010
RA000109,CONC,576B,Conc in Furniture Design,2009 - 2010
RA000110,CONC,576C,Conc in Product Design,2009 - 2009
RA000111,MAJOR,550A,Major in Interior Design,2009 - 2009
RA000112,MAJOR,545*,Major in Technology Education,2009 - 9999
RA000113,CONC,545B,Conc in Tech Ed/Secondary Education,2009 - 2011
RA000114,CONC,545C,Conc in Tech Ed/Trade & Industry,2009 - 2011
RA000115,MAJOR,523A,Major in Art Management,2009 - 2010
RA000116,MAJOR,577*,Major in Building Sciences,2009 - 9999
RA000117,CONC,577B,Conc in Architectural Tech & Design,2009 - 2009
RA000118,CONC,577C,Conc in Construction Management,2009 - 2009
RA000119,MAJOR,585A,Major in Communication Studies,2009 - 2011
RA000120,MAJOR,525A,Major in Communication (ElecMedBrdcst),2009 - 2012
RA000121,MAJOR,517A,Major in Communication (Journalism),2009 - 2012
RA000122,MAJOR,521A,Major in Communication (Public Relations),2009 - 2012
RA000123,MAJOR,565A,Major in Athletic Training,2009 - 2009
RA000124,MAJOR,524A,Major in Child Development (B-K),2009 - 2009
RA000125,MAJOR,581A,Major in Dance Studies,2009 - 2009
RA000126,MAJOR,567*,Major in Exercise Science,2009 - 2009
RA000127,CONC,567B,Conc in Pre-Professional,2009 - 2009
RA000128,CONC,567C,Conc in Wellness/Cardiac Rehabilitation,2009 - 2010
RA000129,CONC,567D,Conc in Strength & Conditioning,2009 - 2009
RA000130,MAJOR,500A,Major in Apparel & Textiles,2009 - 2009
RA000131,MAJOR,509A,Major in Health Promotion,2009 - 2009
RA000132,MAJOR,510*,Major in Child Development,2009 - 2011
RA000133,CONC,510D,Conc in Psychology,2009 - 2009
RA000134,CONC,510F,Conc in Family & Consumer Sciences,2009 - 2009
RA000135,MAJOR,513A,Major in Foods & Nutrition,2009 - 2014
RA000137,CONC,554F,Conc in Instrument/Cello,2009 - 2014
RA000138,CONC,554G,Conc in Instrument/Clarinet,2009 - 2014
RA000139,CONC,554H,Conc in Instrument/Flute,2009 - 2014
RA000140,CONC,554I,Conc in Instrument/French Horn,2009 - 2014
RA000141,CONC,554K,Conc in Instrument/Guitar,2009 - 2014
RA000142,CONC,554L,Conc in Instrument/Harp,2009 - 2014
RA000143,CONC,554M,Conc in Instrument/Oboe,2009 - 2014
RA000144,CONC,554O,Conc in Instrument/Percussion,2009 - 2014
RA000145,CONC,554Q,Conc in Instrument/Saxophone,2009 - 2014
RA000146,CONC,554R,Conc in Instrument/String Bass,2009 - 2014
RA000147,CONC,554T,Conc in Instrument/Trombone,2009 - 2014
RA000148,CONC,554U,Conc in Instrument/Trumpet,2009 - 2014
RA000149,CONC,554V,Conc in Instrument/Tuba,2009 - 2014
RA000150,CONC,554W,Conc in Instrument/Viola,2009 - 2014
RA000151,CONC,554X,Conc in Instrument/Violin,2009 - 2014
RA000152,CONC,554Z,Conc in Instrument/Euphonium,2009 - 2014
RA000153,CONC,520B,Conc in Food Management,2009 - 2010
RA000154,CONC,520C,Conc in Foods & Nutrition (General),2009 - 2010
RA000155,MAJOR,526*,Major in Family & Consumer Sci Sec Ed,2009 - 2009
RA000156,MAJOR,563A,Major in Nursing (RN to BSN),2009 - 2010
RA000157,MAJOR,564A,Major in PE Teacher Education (K-12),2009 - 2011
RA000158,MAJOR,572A,Major in Graphic Arts & Imaging Tech,2009 - 2010
RA000159,MAJOR,574*,Major in Recreation Management,2009 - 2009
RA000160,CONC,574G,Conc in Commercial Rec & Tourism Mgmt,2009 - 2014
RA000161,CONC,574E,Conc in Recreation & Park Management,2009 - 2014
RA000162,CONC,574F,Conc in Outdoor Experiential Education,2009 - 2013
RA000163,MAJOR,579A,Major in Technical Photography,2009 - 2010
RA000164,MAJOR,589A,Major in Teaching Theatre Arts (K-12),2009 - 2013
RA000165,OTHER,PROFEDU,Professional Education Requirements,2009 - 2014
RA000166,OTHER,FORLANG,Foreign Language Requirements,2009 - 2010
RA000167,MAJOR,591*,Major in Theatre Arts,2009 - 2010
RA000168,CONC,591B,Conc in Theatre Arts (General),2009 - 2013
RA000169,CONC,591C,Conc in Theatre Arts (Performance),2009 - 2010
RA000170,CONC,591D,Conc in Theatre Design/Technology,2009 - 2010
RA000171,MAJOR,809A,Major in Nursing (BSN),2009 - 2009
RA000172,MINOR,201,Minor in Anthropology,2009 - 2013
RA000173,MINOR,207,Minor in Astronomy,2009 - 2023
RA000174,MINOR,208,Minor in Biology,2009 - 2014
RA000175,MINOR,214,Minor in Chemistry,2009 - 2011
RA000176,MINOR,227,Minor in Chinese,2009 - 2021
RA000177,MINOR,218,Minor in Community & Regional Planning,2009 - 2009
RA000178,MINOR,219,Minor in Computer Science,2009 - 2014
RA000179,MINOR,220,Minor in Criminal Justice,2009 - 2009
RA000180,MINOR,233,Minor in English,2009 - 2014
RA000181,MINOR,122,Minor in French & Francophone Studies,2009 - 2015
RA000182,MINOR,242,Minor in Geography,2009 - 2013
RA000183,MINOR,244,Minor in Geology,2009 - 2012
RA000184,MINOR,245,Minor in German,2009 - 2015
RA000185,MINOR,253,Minor in Gerontology,2009 - 2010
RA000186,MINOR,246,Minor in History,2009 - 2019
RA000187,MINOR,126,Minor in Judaic Holocaust & Peace Studies,2009 - 2011
RA000188,MINOR,260,Minor in Mathematics,2009 - 2018
RA000189,MINOR,266,Minor in Philosophy,2009 - 2011
RA000190,MINOR,270,Minor in Physics,2009 - 2020
RA000191,MINOR,271,Minor in Political Science,2009 - 2009
RA000192,MINOR,275,Minor in Psychology,2009 - 2014
RA000193,MINOR,103,Minor in Religious Studies,2009 - 2012
RA000194,MINOR,281,Minor in Social Work,2009 - 2010
RA000195,MINOR,290,Minor in Sociology,2009 - 9999
RA000196,MINOR,286,Minor in Spanish,2009 - 2017
RA000197,MINOR,289,Minor in Statistics,2009 - 2015
RA000198,MINOR,288,Minor in TESL/Applied Linguistics,2009 - 2011
RA000199,MAJOR,219A,Cert in Computer Science,2009 - 2012
RA000200,MAJOR,106A,Major in Actuarial Sciences,2009 - 2012
RA000201,MAJOR,201*,Major in Anthropology,2009 - 2011
RA000202,CONC,202B,Conc in Anthropology (Applied),2009 - 2013
RA000203,MAJOR,202*,Major in Anthropology,2009 - 2013
RA000204,CONC,202C,Conc in Anthropology (General),2009 - 2013
RA000205,CONC,202D,Conc in Archeology,2009 - 2013
RA000206,MAJOR,201A,Major in Anthropology,2009 - 2009
RA000207,CONC,201B,Conc in Sustainable Development,2009 - 2009
RA000208,CONC,201C,Conc in Biological Anthropology,2009 - 2009
RA000209,MAJOR,208A,Major in Biology,2009 - 2009
RA000210,MAJOR,124A,Major in Biology (Cell/Molecular),2009 - 2009
RA000211,MAJOR,205A,Major in Biology (Eco Evo & Env),2009 - 2009
RA000212,MAJOR,209A,Major in Biology (Sec Ed Licensure),2009 - 2009
RA000213,MAJOR,216A,Major in Chemistry,2009 - 2010
RA000214,MAJOR,215A,Major in Chemistry (Sec Ed Licensure),2009 - 2013
RA000215,MAJOR,214*,Major in Chemistry,2009 - 2010
RA000216,CONC,214B,Conc in Certified Chemist,2009 - 2009
RA000217,CONC,214D,Conc in Marketing & Business,2009 - 2010
RA000218,CONC,214E,Conc in Pre-Professional & Paramedical,2009 - 2012
RA000219,CONC,214F,Conc in Chemistry (Individually Designed),2009 - 2014
RA000220,CONC,214G,Conc in Environmental Chemistry,2009 - 2010
RA000221,CONC,214H,Conc in Forensic Science,2009 - 2014
RA000222,MAJOR,218A,Major in Community & Regional Planning,2009 - 2009
RA000223,MAJOR,219A,Major in Computer Science,2009 - 2012
RA000224,MAJOR,220A,Major in Criminal Justice,2009 - 2010
RA000225,MAJOR,220*,Major in Criminal Justice,2009 - 2016
RA000226,CONC,220B,Conc in Criminal Justice (International),2009 - 2014
RA000227,MAJOR,107*,Major in Economics,2009 - 2013
RA000228,CONC,107B,Conc in Environmental Policy & Mgmt,2009 - 2009
RA000229,CONC,107C,Conc in Economics (General),2009 - 2013
RA000230,CONC,107D,Conc in International Economics,2009 - 2013
RA000231,CONC,107E,Conc in Regional Development,2009 - 2013
RA000232,MAJOR,233A,Major in English,2009 - 2011
RA000233,MAJOR,233*,Major in English,2009 - 2012
RA000234,CONC,233B,Conc in Creative Writing,2009 - 2012
RA000235,CONC,233C,Conc in Professional Writing,2009 - 2013
RA000236,CONC,233D,Conc in Film Studies,2009 - 2013
RA000237,MAJOR,234A,Major in English (Secondary Ed),2009 - 2012
RA000238,CONC,CIS,Conc in Computer Info Systems (SAC),2009 - 2011
RA000239,CONC,D I,Conc in Diversity Studies (SAC),2009 - 2011
RA000240,CONC,GLY,Conc in Geology (SAC),2009 - 2014
RA000241,CONC,G I,Conc in Global Issues (SAC),2009 - 2011
RA000242,OTHER,GCSAC,Conc in Graphic Communications (SAC),2009 - 9999
RA000243,CONC,HIS,Conc in History (SAC),2009 - 2011
RA000244,OTHER,GRADREQ,General Master's Degree Requirements,2009 - 2017
RA000245,OTHER,GRAD2REQ,General Requirements for Second Master's,2009 - 2017
RA000253,OTHER,PROFREQ,Specialist Degree Requirements,2009 - 2017
RA000255,OTHER,DOCREQ,General Doctoral Requirements,2009 - 2017
RA000257,MAJOR,204*,Major in Appalachian Studies,2009 - 2012
RA000258,CONC,204B,Conc in Appalachian Culture Area,2009 - 2012
RA000259,CONC,204C,Conc in Sustainable Development,2009 - 2012
RA000261,CONC,302B,Conc in Taxation,2009 - 2019
RA000262,CONC,302C,Conc in General Accounting,2009 - 2014
RA000263,MAJOR,207*,Major in Biology,2009 - 2016
RA000266,CONC,204D,Conc in Appalachian Music: Roots/Infl,2009 - 2012
RA000267,MAJOR,305A,Major in Business Administration,2009 - 2010
RA000268,MAJOR,702*,Major in Educational Leadership,2009 - 2012
RA000269,CONC,702B,Conc in Educational Leadership Licensure,2009 - 2012
RA000270,CONC,702C,Conc in Educational Leadership General,2009 - 2012
RA000271,MAJOR,428A,Major in Educational Administration,2009 - 2012
RA000272,MAJOR,465*,Major in Library Science,2009 - 2010
RA000273,CONC,465B,Conc in School Libraries,2009 - 2010
RA000274,CONC,465C,Conc in Public Libraries,2009 - 2010
RA000275,MAJOR,558*,Major in Performance,2009 - 2010
RA000276,CONC,558B,Conc in Performance/Bassoon,2009 - 2013
RA000277,CONC,558C,Conc in Performance/Cello,2009 - 2013
RA000278,CONC,558D,Conc in Performance/Clarinet,2009 - 2013
RA000279,CONC,558E,Conc in Performance/Flute,2009 - 2013
RA000280,CONC,558G,Conc in Performance/Guitar,2009 - 2013
RA000281,CONC,558H,Conc in Performance/Harp,2009 - 2013
RA000282,CONC,558I,Conc in Performance/Oboe,2009 - 2013
RA000283,CONC,558K,Conc in Performance/Organ,2009 - 2013
RA000284,CONC,558L,Conc in Performance/Percussion,2014 - 2021
RA000285,CONC,558M,Conc in Performance/Piano,2009 - 2013
RA000286,CONC,558N,Conc in Performance/Saxophone,2009 - 2013
RA000287,CONC,558O,Conc in Performance/String Bass,2009 - 2013
RA000288,CONC,558P,Conc in Performance/Trombone,2009 - 2013
RA000289,CONC,558Q,Conc in Performance/Trumpet,2009 - 2013
RA000290,CONC,558R,Conc in Performance/Tuba,2009 - 2013
RA000291,CONC,558T,Conc in Performance/Viola,2009 - 2013
RA000292,CONC,558U,Conc in Performance/Violin,2009 - 2013
RA000293,CONC,558V,Conc in Performance/Voice,2009 - 2013
RA000294,CONC,558Y,Conc in Performance/Euphonium,2009 - 2013
RA000295,CONC,558Z,Conc in Music Composition,2009 - 2013
RA000296,MAJOR,560A,Major in Music Therapy,2009 - 2012
RA000297,MAJOR,279*,Major in Public Administration,2009 - 2015
RA000298,CONC,279B,Conc in Public Management,2009 - 2020
RA000299,CONC,279C,Conc in Town City & County Mgmt,2009 - 2013
RA000300,CONC,279D,Conc in Administration of Justice,2009 - 2015
RA000301,CONC,279E,Conc in Emergency Management,2009 - 2013
RA000302,CONC,279F,Conc in Not-for-profit Management,2009 - 2013
RA000303,MAJOR,135*,Major in Social Work,2009 - 2018
RA000304,CONC,135B,Conc in Community & Org Practice,2009 - 2016
RA000305,CONC,135C,Conc in Individuals & Families,2009 - 2016
RA000306,MAJOR,200A,Cert in Appalachian Studies,2009 - 2017
RA000307,MAJOR,423A,Cert in Addiction Counseling,2009 - 2020
RA000308,MAJOR,425A,Cert in Expressive Arts Therapy,2009 - 2012
RA000309,MAJOR,310A,Cert in Computer Information Systems,2009 - 9999
RA000310,MAJOR,419A,Cert in Ed Media - Web-based Distance Learning,2009 - 2015
RA000311,MAJOR,424A,Cert in Media Literacy,2009 - 2012
RA000312,MAJOR,130A,Cert in Women's Studies,2009 - 2015
RA000313,MAJOR,108A,Cert in French,2009 - 2017
RA000314,MAJOR,109A,Cert in Planning,2009 - 2012
RA000315,MAJOR,110A,Cert in Gerontology,2009 - 2012
RA000316,MAJOR,111A,Cert in Spanish,2009 - 2020
RA000317,MAJOR,114A,Cert in Geographic Information Science,2009 - 2018
RA000318,MAJOR,132A,Cert in Rhetoric & Composition,2009 - 2020
RA000319,MAJOR,330A,Cert in Human Resource Management,2009 - 9999
RA000320,MAJOR,475A,Cert in Reading Education,2009 - 2015
RA000321,MINOR,203,Minor in Appalachian Studies,2009 - 9999
RA000322,MINOR,235,Minor in English,2009 - 9999
RA000323,MINOR,527,Minor in Family & Consumer Sciences,2009 - 9999
RA000324,MINOR,222,Minor in Romance Languages/French,2009 - 9999
RA000325,MINOR,241,Minor in Geography,2009 - 9999
RA000326,MINOR,248,Minor in History,2009 - 9999
RA000327,MINOR,104,Minor in Philosophy,2009 - 9999
RA000328,MINOR,105,Minor in Religious Studies,2009 - 9999
RA000329,MINOR,272,Minor in Physics,2009 - 9999
RA000330,MINOR,276,Minor in Psychology,2009 - 2016
RA000331,MINOR,223,Minor in Romance Languages/Spanish,2009 - 9999
RA000332,MAJOR,548*,Major in Child Development (B-K),2009 - 2010
RA000333,CONC,548B,Conc in Teaching,2009 - 2010
RA000334,CONC,548C,Conc in Administration,2009 - 2011
RA000335,MAJOR,709*,Major in Clinical Mental Health Counseling,2009 - 2014
RA000336,CONC,709B,Conc in Addictions Counseling,2009 - 2022
RA000337,CONC,709C,Conc in Body Centered Therapy,2009 - 2012
RA000338,CONC,709D,Conc in Clinical Mental Health Couns (Gen),2009 - 2022
RA000339,CONC,709E,Conc in Expressive Arts Therapy,2009 - 2012
RA000340,CONC,709F,Conc in Marriage & Family Counseling,2009 - 9999
RA000342,MAJOR,496*,Major in College Student Development,2009 - 2013
RA000343,CONC,496C,Conc in Student Affairs Practice,2009 - 2013
RA000344,CONC,496D,Conc in College Outdoor Program Admin,2009 - 2013
RA000345,MAJOR,224A,Major in Computer Science,2009 - 2014
RA000346,MAJOR,120A,Major in Criminal Justice & Criminology,2009 - 2012
RA000347,MAJOR,416A,Major in Curriculum Specialist,2009 - 2016
RA000370,MAJOR,437*,Major in Educational Media,2009 - 2010
RA000380,CONC,437D,Conc in Inst Tech Spec/Computers,2009 - 2010
RA000385,CONC,437E,Conc in Inst Tech Spec/Computers (Gen),2009 - 2010
RA000386,MAJOR,434*,Major in Educational Media,2009 - 2012
RA000387,CONC,434F,Conc in Inst Tech Spec/Media Production,2009 - 2015
RA000388,CONC,434G,Conc in Inst Tech Spec/Media Literacy,2009 - 2012
RA000389,CONC,434H,Conc in Inst Tech Spec/New Media & Glob Ed,2009 - 2012
RA000390,MAJOR,422A,Major in Elementary Education,2009 - 2011
RA000391,MAJOR,232A,Major in English,2009 - 2012
RA000392,MAJOR,235*,Major in English (Education),2009 - 2014
RA000393,CONC,235B,Conc in Community College Teaching,2009 - 9999
RA000394,CONC,235S,Conc in Secondary School Teaching (English),2009 - 2014
RA000395,MAJOR,562*,Major in Exercise Science,2009 - 9999
RA000396,CONC,562B,Conc in Research,2009 - 9999
RA000399,CONC,562C,Conc in Clinical/Cardiopulmonary Rehab,2009 - 2010
RA000400,CONC,562D,Conc in Strength & Conditioning,2009 - 9999
RA000401,MAJOR,529*,Major in Family & Consumer Sciences,2009 - 2010
RA000402,CONC,529B,Conc in Child & Family Studies,2009 - 2010
RA000403,CONC,529C,Conc in Foods & Nutrition,2009 - 2010
RA000404,CONC,529D,Conc in General (FCS),2009 - 2010
RA000405,MAJOR,527A,Major in Family & Consumer Science (Ed),2009 - 2011
RA000406,MAJOR,222A,Major in Romance Languages (French),2009 - 2010
RA000407,MAJOR,223*,Major in Romance Lang (French Teaching),2009 - 2010
RA000408,CONC,223D,Conc in French K-12 Teaching,2009 - 2010
RA000409,CONC,223E,Conc in Community College Teaching/French,2009 - 2010
RA000410,MAJOR,237A,Major in Geography (Thesis Option),2009 - 9999
RA000411,MAJOR,237*,Major in Geography,2009 - 2016
RA000412,CONC,237B,Conc in General (Geography),2009 - 9999
RA000413,CONC,237C,Conc in Planning,2009 - 9999
RA000414,CONC,237D,Conc in Geographic Information Science,2009 - 2018
RA000418,MAJOR,245A,Major in Gerontology,2009 - 2012
RA000419,MAJOR,256*,Major in Gerontology,2009 - 2010
RA000420,CONC,256B,Conc in Counseling,2009 - 2012
RA000421,CONC,256C,Conc in Program Administration,2009 - 2012
RA000422,CONC,256D,Conc in Lifespan Transitions,2009 - 2010
RA000423,MAJOR,454*,Major in Higher Education (MA),2009 - 2012
RA000424,CONC,454E,Conc in Teaching (Higher Ed MA),2009 - 2012
RA000425,CONC,454F,Conc in Adult & Developmental Ed (MA),2009 - 2012
RA000426,CONC,454G,Conc in Community College & Univ Ldrshp (MA),2009 - 2012
RA000427,MAJOR,455*,Major in Higher Education (EDS),2009 - 2016
RA000428,CONC,455E,Conc in Teaching (Higher Ed EDS),2009 - 2020
RA000429,CONC,455F,Conc in Adult & Developmental Ed (EDS),2009 - 2020
RA000430,CONC,455G,Conc in Community College & Univ Ldrshp (EDS),2009 - 2020
RA000431,MAJOR,248*,Major in History (Education),2009 - 2012
RA000432,CONC,248S,Conc in Secondary School Teaching (History),2009 - 2013
RA000433,MAJOR,283A,Major in Public History,2009 - 2011
RA000434,MAJOR,468A,Major in Marriage & Family Therapy,2009 - 2012
RA000435,MAJOR,264*,Major in Mathematics,2009 - 2012
RA000436,CONC,264B,Conc in College Teaching (Mathematics),2009 - 2014
RA000438,MAJOR,263*,Major in Mathematics Education,2009 - 2014
RA000439,CONC,263S,Conc in Secondary Sch Teaching (Math),2009 - 2010
RA000440,MAJOR,472*,Major in Middle Grades Education,2009 - 2011
RA000441,CONC,472B,Conc in Language Arts,2009 - 2011
RA000442,CONC,472C,Conc in Mathematics,2009 - 2011
RA000443,CONC,472D,Conc in Science,2009 - 2011
RA000444,CONC,472E,Conc in Social Studies,2009 - 2011
RA000445,MAJOR,559*,Major in Music Education,2009 - 2010
RA000446,CONC,559B,Conc in General Music,2009 - 2012
RA000447,CONC,559D,Conc in Band Directing,2009 - 9999
RA000448,CONC,559E,Conc in Choral Directing,2009 - 2012
RA000449,MAJOR,113*,Major in Engineering Physics,2009 - 2015
RA000450,CONC,113B,Conc in Systems Laboratory Automation,2009 - 2015
RA000451,CONC,113C,Conc in Instrumentation & Automation,2008 - 2009
RA000452,MAJOR,267*,Major in Political Science,2009 - 2015
RA000453,CONC,267C,Conc in American Government,2009 - 2015
RA000454,CONC,267E,Conc in Int'l Relations/Comparative Politics,2009 - 2015
RA000455,MAJOR,115A,Major in Clinical Health Psychology,2009 - 2012
RA000456,MAJOR,258A,Major in I/O Psychology & HR Management,2009 - 2014
RA000457,MAJOR,226A,Major in Psychology General Experimental,2009 - 2013
RA000458,MAJOR,125A,Major in School Psychology,2008 - 2009
RA000459,MAJOR,477*,Major in Reading Education (General),2009 - 2018
RA000460,CONC,477B,Conc in Adult Literacy,2009 - 2022
RA000461,CONC,477E,Conc in Classroom/Clinical,2009 - 2014
RA000462,MAJOR,433A,Major in School Administration,2009 - 2011
RA000463,MAJOR,427*,Major in Professional School Counseling,2008 - 2009
RA000464,CONC,427B,Conc in Elementary/Middle School Licensure,2008 - 2009
RA000465,CONC,427C,Conc in Secondary School Licensure,2008 - 2009
RA000466,MAJOR,228A,Major in Romance Languages (Spanish),2009 - 2010
RA000467,MAJOR,229*,Major in Romance Lang (Spanish Teaching),2009 - 2010
RA000468,CONC,229D,Conc in Spanish K-12 Teaching,2009 - 2010
RA000469,CONC,229E,Conc in Community College Teaching/Spanish,2009 - 2010
RA000470,MAJOR,476*,Major in Special Education,2009 - 2014
RA000471,CONC,476B,Conc in Emotional/Behavioral Disorders,2009 - 2018
RA000472,CONC,476C,Conc in Intellectual Disabilities (Mental Rtrdtn),2009 - 2018
RA000473,CONC,476D,Conc in Learning Disabilities,2009 - 2018
RA000474,MAJOR,484A,Major in Special Education (Teaching Parent Spec),2009 - 9999
RA000475,MAJOR,707A,Major in Speech-Language Pathology,2009 - 2010
RA000476,MAJOR,599*,Major in Technology,2009 - 2011
RA000477,CONC,599B,Conc in Appropriate Technology,2009 - 2011
RA000478,CONC,599C,Conc in Building Energy Engineering,2009 - 2010
RA000479,CONC,599D,Conc in Building Science,2009 - 2011
RA000480,CONC,599E,Conc in Graphic Arts & Imaging Technology,2009 - 2011
RA000481,CONC,599F,Conc in Energy Engineering,2009 - 2010
RA000482,MAJOR,546*,Major in Technology Education,2009 - 2011
RA000483,CONC,546B,Conc in Community College Teaching (Tech),2009 - 2011
